,fc81_acr,synaptome_acr,synaptome_idx,ontology,region_id,x,y,z,SNR
0,FRP,[],[],7.0,184.0,2270.0,2770.0,4560.0,49.66375684
1,MOp,"['MOp1', 'MOp2/3', 'MOp5', 'MOp6a']","[[12, 123, 205], [30, 124, 206], [48, 125, 207], [66, 126, 208]]",16.0,985.0,4300.0,2360.0,3530.0,46.45213555
2,MOs,"['MOs1', 'MOs2/3', 'MOs5', 'MOs6a']","[[13, 131, 212], [31, 132, 213], [49, 133, 214], [67, 134, 215]]",22.0,993.0,3610.0,2110.0,4370.0,44.8424644
3,SSp-n,"['SSp-n1', 'SSp-n2/3', 'SSp-n4', 'SSp-n5', 'SSp-n6a']","[[150], [151], [152], [153], [154]]",42.0,353.0,5670.0,2460.0,2100.0,41.48430618
4,SSp-bfd,"['SSp-bfd1', 'SSp-bfd2/3', 'SSp-bfd4', 'SSp-bfd5', 'SSp-bfd6a']","[[239], [240], [241], [242], [243]]",49.0,329.0,6740.0,1750.0,2380.0,49.63691971
5,SSp-ll,[],[],56.0,337.0,5970.0,1230.0,3930.0,52.12172312
6,SSp-m,"['SSp-m1', 'SSp-m2/3', 'SSp-m4', 'SSp-m5', 'SSp-m6a']","[[140], [141], [142], [143], [144]]",63.0,345.0,4620.0,3010.0,2300.0,33.09032338
7,SSp-ul,"['SSp-ul1', 'SSp-ul2/3', 'SSp-ul4', 'SSp-ul5', 'SSp-ul6a']","[[160], [161], [162], [163], [164]]",70.0,369.0,5450.0,1740.0,3270.0,50.87331165
8,SSp-tr,"['SSp-tr1', 'SSp-tr2/3', 'SSp-tr4', 'SSp-tr5', 'SSp-tr6a']","[[249], [250], [251], [252], [253]]",77.0,361.0,6680.0,940.0,3900.0,56.50636718
9,SSp-un,[],[],84.0,182305689.0,5860.0,1720.0,2910.0,51.16020328
10,SSs,[],[],91.0,378.0,6110.0,3350.0,1540.0,34.38807792
11,GU,"['GU1', 'GU2/3', 'GU4', 'GU5', 'GU6a']","[[109], [110], [111], [112], [113]]",98.0,1057.0,4660.0,4470.0,1960.0,29.9224909
12,VISC,[],[],105.0,677.0,6300.0,4450.0,1260.0,27.21044429
13,AUDd,"['AUDd1', 'AUDd2/3', 'AUDd4', 'AUDd5', 'AUDd6a']","[[170, 275], [171, 301], [172, 322], [173, 343], [174, 369]]",113.0,1011.0,7540.0,2430.0,1470.0,32.58696004
14,AUDp,"['AUDp1', 'AUDp2/3', 'AUDp4', 'AUDp5', 'AUDp6a']","[[180, 276], [181, 302], [182, 323], [183, 344], [184, 370]]",120.0,1002.0,7930.0,2820.0,1180.0,27.75179557
15,AUDpo,[],[],127.0,1027.0,8420.0,2290.0,1460.0,29.9129417
16,AUDv,"['AUDv1', 'AUDv2/3', 'AUDv4', 'AUDv5', 'AUDv6a']","[[190, 277], [191, 303], [192, 324], [193, 345], [194, 371]]",134.0,1018.0,7800.0,3400.0,1050.0,29.04337508
17,VISal,"['VISal1', 'VISal2/3', 'VISal4', 'VISal5', 'VISal6a']","[[285], [311], [327], [353], [379]]",148.0,402.0,8260.0,1680.0,2000.0,46.66033672
18,VISam,"['VISam1', 'VISam2/3', 'VISam4', 'VISam5', 'VISam6a']","[[286], [312], [328], [354], [380]]",155.0,394.0,7660.0,720.0,4040.0,54.97034392
19,VISl,[],[],162.0,409.0,9090.0,1840.0,2110.0,39.04519234
20,VISp,"['VISp1', 'VISp2/3', 'VISp4', 'VISp5', 'VISp6a']","[[287], [313], [329], [355], [381]]",169.0,385.0,9070.0,1200.0,3120.0,47.42045713
21,VISpl,[],[],176.0,425.0,10000.0,2200.0,2440.0,43.78604358
22,VISli,[],[],,,,,,32.16880184
23,VISpor,[],[],,,,,,33.10741004
24,ACAd,"['ACAd1', 'ACAd2/3', 'ACAd5', 'ACAd6a']","[[9, 76], [27, 77], [45, 78], [63, 79]]",196.0,39.0,4440.0,1940.0,5280.0,56.64426561
25,ACAv,"['ACAv1', 'ACAv2/3', 'ACAv5', 'ACAv6a']","[[84], [85], [86], [87]]",202.0,48.0,4850.0,2470.0,5360.0,50.51393166
26,PL,"['PL1', 'PL2/3', 'PL5', 'PL6a']","[[17], [35], [53], [71]]",208.0,972.0,3110.0,2780.0,5250.0,50.492761
27,ILA,"['ILA1', 'ILA2/3', 'ILA5', 'ILA6a']","[[11], [29], [47], [65]]",215.0,44.0,3490.0,3710.0,5340.0,44.11326028
28,ORB,"['ORBl1', 'ORBl2/3', 'ORBl5', 'ORBl6a', 'ORBm1', 'ORBm2/3', 'ORBm5', 'ORBm6a', 'ORBvl1', 'ORBvl2/3', 'ORBvl5', 'ORBvl6a']","[[14], [32], [50], [68], [15], [33], [51], [69], [16], [34], [52], [70]]",222.0,714.0,2860.0,3710.0,4670.0,43.55264883
29,AId,"['AId1', 'AId2/3', 'AId5', 'AId6a']","[[10, 92], [28, 93], [46, 94], [64, 95]]",248.0,104.0,3470.0,4280.0,2980.0,34.31497663
30,AIp,[],[],254.0,111.0,5970.0,5100.0,1520.0,23.11558533
31,AIv,"['AIv1', 'AIv2/3', 'AIv5', 'AIv6a']","[[100], [101], [102], [103]]",260.0,119.0,3720.0,4900.0,2980.0,34.30265438
32,RSPagl,"['RSPagl1', 'RSPagl2/3', 'RSPagl5', 'RSPagl6a']","[[281], [307], [349], [375]]",267.0,894.0,8130.0,820.0,4400.0,49.93157103
33,RSPd,"['RSPd1', 'RSPd2/3', 'RSPd5', 'RSPd6a']","[[282], [308], [224, 350], [225, 376]]",273.0,879.0,8020.0,800.0,4820.0,50.30803528
34,RSPv,"['RSPv1', 'RSPv2/3', 'RSPv5', 'RSPv6a']","[[230, 283], [231, 309], [232, 351], [233, 377]]",280.0,886.0,7790.0,1260.0,5200.0,52.01327374
35,PTLp,"['PTLp1', 'PTLp2/3', 'PTLp4', 'PTLp5', 'PTLp6a']","[[280], [306], [325], [348], [374]]",287.0,22.0,7480.0,1020.0,3240.0,53.10809203
36,TEa,"['TEa1', 'TEa2/3', 'TEa4', 'TEa5', 'TEa6a']","[[258, 284], [259, 310], [326], [260, 352], [261, 378]]",294.0,541.0,8340.0,3580.0,1100.0,28.36850959
37,ECT,"['ECT1', 'ECT2/3', 'ECT5', 'ECT6a']","[[199, 278], [200, 304], [346, 453], [372, 454]]",307.0,895.0,8030.0,4300.0,1120.0,27.77959132
38,PIR,"['PIR1', 'PIR2', 'PIR3']","[[391, 409, 433], [393, 411, 435], [395, 413, 437]]",350.0,961.0,5620.0,6050.0,2330.0,22.99547551
39,COA,"['COApl', 'COApl1', 'COApl2', 'COApl3', 'COApm1', 'COApm2', 'COA2pm3']","[[439], [415], [417], [419], [421, 441], [423, 443], []]",360.0,631.0,7510.0,6850.0,2890.0,12.81721005
40,PAA,"['PAA1', 'PAA2', 'PAA3']","[[427], [429], [431]]",378.0,788.0,6770.0,7150.0,2470.0,17.11313426
41,CA,"['CA1slm', 'CA1so', 'CA1sp', 'CA1sr', 'CA2slm', 'CA2so', 'CA2sp', 'CA2sr', 'CA3slm', 'CA3slu', 'CA3so', 'CA3sp', 'CA3sr']","[[458, 510], [460, 512], [462, 514], [464, 516], [466, 518], [468], [470], [472], [474, 520], [476], [478, 523], [480, 525], [482, 527]]",390.0,375.0,7910.0,3340.0,2990.0,40.91313174
42,DG,"['DG-mo', 'DG-po', 'DG-sg']","[[484, 486, 488, 529, 531, 533], [490, 492, 535, 537], [494, 496, 539, 541, 543]]",407.0,726.0,8160.0,3070.0,3390.0,40.64673102
43,IG,['IG'],[[452]],425.0,19.0,4820.0,2920.0,5630.0,45.89368937
44,ENT,"['ENTl1', 'ENTl2/3', 'ENTl4', 'ENTl5', 'ENTl6a']","[[455, 500], [456, 502], [504], [506], [508]]",427.0,909.0,9310.0,4570.0,1690.0,33.66988035
45,PAR,[],[],457.0,843.0,9750.0,3560.0,2810.0,36.24611586
46,POST,[],[],461.0,1037.0,9170.0,2180.0,3600.0,48.18548087
47,PRE,[],[],465.0,1084.0,9330.0,3600.0,2940.0,36.16219022
48,SUB,"['SUBd-m', 'SUBd-sp', 'SUBd-sr']","[[545], [547], [549]]",469.0,502.0,9100.0,3050.0,2820.0,44.95610379
49,ProS,[],[],,,,,,52.89405018
50,HATA,[],[],,,,,,20.9275251
51,CLA,['CLA'],[[553]],480.0,583.0,4550.0,4770.0,2750.0,40.16078556
52,EP,"['EPd', 'EPv']","[[551, 555, 565], [567, 577]]",481.0,942.0,6060.0,5680.0,2380.0,30.13788612
53,LA,['LA'],[[569]],484.0,131.0,7270.0,5230.0,2090.0,31.48167364
54,BLA,"['BLAa', 'BLAp', 'BLAv']","[[557], [559, 573], [561]]",485.0,295.0,7210.0,6030.0,2400.0,23.76698133
55,BMA,['BMAp'],"[[563, 575]]",489.0,319.0,7000.0,6380.0,2860.0,23.86255365
56,PA,['PA'],"[[571, 579]]",492.0,780.0,7940.0,6220.0,3120.0,18.10205837
57,STRd,[],[],495.0,485.0,5340.0,4210.0,3350.0,41.1175392
58,STRv,[],[],497.0,493.0,4360.0,6310.0,4270.0,27.75223877
59,LSX,[],[],507.0,275.0,4920.0,4040.0,5240.0,41.1280126
60,sAMY,[],[],514.0,278.0,6610.0,6150.0,3390.0,27.20452259
61,PALd,[],[],531.0,818.0,6230.0,4870.0,3480.0,33.79986257
62,PALv,[],[],534.0,835.0,5040.0,6290.0,4160.0,29.5932015
63,PALc,[],[],542.0,809.0,5360.0,5180.0,4790.0,35.44894482
64,VENT,[],[],565.0,637.0,6960.0,4390.0,4200.0,35.70075031
65,SPF,"['SPFm', 'SPFp']","[[639], [659]]",573.0,406.0,7790.0,4520.0,4720.0,
66,GENd,[],[],578.0,1008.0,7940.0,3520.0,3420.0,37.74971831
67,LAT,[],[],585.0,138.0,7470.0,3500.0,4190.0,39.53461176
68,MED,[],[],599.0,444.0,6750.0,4180.0,5280.0,40.27837785
69,MTN,[],[],607.0,571.0,6120.0,4460.0,5490.0,40.99403705
70,ILM,[],[],611.0,51.0,7190.0,4080.0,4900.0,36.88189891
71,RT,['RT'],[[637]],617.0,262.0,6340.0,4340.0,3730.0,36.72044375
72,GENv,[],[],618.0,1014.0,7670.0,3940.0,3070.0,34.84684794
73,EPI,[],[],624.0,958.0,6930.0,3130.0,5340.0,50.48728761
74,PVZ,[],[],629.0,157.0,6580.0,6450.0,5600.0,34.23714976
75,PVR,[],[],647.0,141.0,5830.0,6280.0,5460.0,34.02046851
76,MEZ,[],[],,,,,,30.67040225
77,LZ,[],[],701.0,290.0,6810.0,5750.0,4430.0,29.82596431
78,MBsen,[],[],714.0,339.0,10040.0,2010.0,4540.0,43.04305444
79,MBmot,['MBmot'],[[686]],727.0,323.0,8970.0,3370.0,4800.0,37.05905493
80,MBsta,[],[],765.0,348.0,9420.0,4490.0,4790.0,31.8037765
81,FRP,[],[],7.0,184.0,2270.0,2770.0,7440.0,48.53583717
82,MOp,"['MOp1', 'MOp2/3', 'MOp5', 'MOp6a']","[[3, 115, 201], [21, 117, 202], [39, 119, 203], [57, 122, 204]]",16.0,985.0,4300.0,2360.0,8470.0,44.34788001
83,MOs,"['MOs1', 'MOs2/3', 'MOs5', 'MOs6a']","[[4, 127], [22, 128, 209], [40, 129, 210], [58, 130, 211]]",22.0,993.0,3610.0,2110.0,7630.0,44.26182523
84,SSp-n,"['SSp-n1', 'SSp-n2/3', 'SSp-n4', 'SSp-n5', 'SSp-n6a']","[[145], [146], [147], [148], [149]]",42.0,353.0,5670.0,2460.0,9900.0,43.30692267
85,SSp-bfd,"['SSp-bfd1', 'SSp-bfd2/3', 'SSp-bfd4', 'SSp-bfd5', 'SSp-bfd6a']","[[234], [235], [236], [237], [238]]",49.0,329.0,6740.0,1750.0,9620.0,50.09166905
86,SSp-ll,[],[],56.0,337.0,5970.0,1230.0,8070.0,54.23113935
87,SSp-m,"['SSp-m1', 'SSp-m2/3', 'SSp-m4', 'SSp-m5', 'SSp-m6a']","[[135], [136], [137], [138], [139]]",63.0,345.0,4620.0,3010.0,9700.0,35.89191769
88,SSp-ul,"['SSp-ul1', 'SSp-ul2/3', 'SSp-ul4', 'SSp-ul5', 'SSp-ul6a']","[[155], [156], [157], [158], [159]]",70.0,369.0,5450.0,1740.0,8730.0,52.5035617
89,SSp-tr,"['SSp-tr1', 'SSp-tr2/3', 'SSp-tr4', 'SSp-tr5', 'SSp-tr6a']","[[244], [245], [246], [247], [248]]",77.0,361.0,6680.0,940.0,8100.0,55.87182435
90,SSp-un,[],[],84.0,182305689.0,5860.0,1720.0,9090.0,51.76109694
91,SSs,[],[],91.0,378.0,6110.0,3350.0,10460.0,36.57259767
92,GU,"['GU1', 'GU2/3', 'GU4', 'GU5', 'GU6a']","[[104], [105], [106], [107], [108]]",98.0,1057.0,4660.0,4470.0,10040.0,31.31997863
93,VISC,[],[],105.0,677.0,6300.0,4450.0,10740.0,28.484474
94,AUDd,"['AUDd1', 'AUDd2/3', 'AUDd4', 'AUDd5', 'AUDd6a']","[[165, 262], [166, 288], [167, 314], [168, 330], [169, 356]]",113.0,1011.0,7540.0,2430.0,10530.0,37.0376154
95,AUDp,"['AUDp1', 'AUDp2/3', 'AUDp4', 'AUDp5', 'AUDp6a']","[[175, 263], [176, 289], [177, 315], [178, 331], [179, 357]]",120.0,1002.0,7930.0,2820.0,10820.0,29.68006413
96,AUDpo,[],[],127.0,1027.0,8420.0,2290.0,10540.0,33.72805102
97,AUDv,"['AUDv1', 'AUDv2/3', 'AUDv4', 'AUDv5', 'AUDv6a']","[[185, 264], [186, 290], [187, 316], [188, 332], [189, 358]]",134.0,1018.0,7800.0,3400.0,10950.0,29.67355749
98,VISal,"['VISal1', 'VISal2/3', 'VISal4', 'VISal5', 'VISal6a']","[[272], [298], [319], [340], [366]]",148.0,402.0,8260.0,1680.0,10000.0,36.16985513
99,VISam,"['VISam1', 'VISam2/3', 'VISam4', 'VISam5', 'VISam6a']","[[273], [299], [320], [341], [367]]",155.0,394.0,7660.0,720.0,7960.0,54.91669739
100,VISl,[],[],162.0,409.0,9090.0,1840.0,9890.0,41.06510377
101,VISp,"['VISp1', 'VISp2/3', 'VISp4', 'VISp5', 'VISp6a']","[[274], [300], [321], [342], [368]]",169.0,385.0,9070.0,1200.0,8880.0,40.37232013
102,VISpl,[],[],176.0,425.0,10000.0,2200.0,9560.0,38.63161029
103,VISli,[],[],,,,,,39.10879469
104,VISpor,[],[],,,,,,28.78469287
105,ACAd,"['ACAd1', 'ACAd2/3', 'ACAd5', 'ACAd6a']","[[0, 72], [18, 73], [36, 74], [54, 75]]",196.0,39.0,4440.0,1940.0,6720.0,56.09004866
106,ACAv,"['ACAv1', 'ACAv2/3', 'ACAv5', 'ACAv6a']","[[80], [81], [82], [83]]",202.0,48.0,4850.0,2470.0,6640.0,50.66602603
107,PL,"['PL1', 'PL2/3', 'PL5', 'PL6a']","[[8], [26], [44], [62]]",208.0,972.0,3110.0,2780.0,6750.0,50.40679162
108,ILA,"['ILA1', 'ILA2/3', 'ILA5', 'ILA6a']","[[2], [20], [38], [56]]",215.0,44.0,3490.0,3710.0,6660.0,44.91053553
109,ORB,"['ORBl1', 'ORBl2/3', 'ORBl5', 'ORBl6a', 'ORBm1', 'ORBm2/3', 'ORBm5', 'ORBm6a', 'ORBvl1', 'ORBvl2/3', 'ORBvl5', 'ORBvl6a']","[[5], [23], [41], [59], [6], [24], [42], [60], [7], [25], [43], [61]]",222.0,714.0,2860.0,3710.0,7330.0,43.61093338
110,AId,"['AId1', 'AId2/3', 'AId5', 'AId6a']","[[1, 88], [19, 89], [37, 90], [55, 91]]",248.0,104.0,3470.0,4280.0,9020.0,34.19472555
111,AIp,[],[],254.0,111.0,5970.0,5100.0,10480.0,24.3762201
112,AIv,"['AIv1', 'AIv2/3', 'AIv5', 'AIv6a']","[[96], [97], [98], [99]]",260.0,119.0,3720.0,4900.0,9020.0,36.16674556
113,RSPagl,"['RSPagl1', 'RSPagl2/3', 'RSPagl5', 'RSPagl6a']","[[268], [294], [336], [362]]",267.0,894.0,8130.0,820.0,7600.0,51.50898807
114,RSPd,"['RSPd1', 'RSPd2/3', 'RSPd5', 'RSPd6a']","[[269], [221, 295], [222, 337], [223, 363]]",273.0,879.0,8020.0,800.0,7180.0,49.32772153
115,RSPv,"['RSPv1', 'RSPv2/3', 'RSPv5', 'RSPv6a']","[[226, 270], [227, 296], [228, 338], [229, 364]]",280.0,886.0,7790.0,1260.0,6800.0,52.04280207
116,PTLp,"['PTLp1', 'PTLp2/3', 'PTLp4', 'PTLp5', 'PTLp6a']","[[267], [293], [317], [335], [361]]",287.0,22.0,7480.0,1020.0,8760.0,50.10279261
117,TEa,"['TEa1', 'TEa2/3', 'TEa4', 'TEa5', 'TEa6a']","[[254, 271], [255, 297], [318], [256, 339], [257, 365]]",294.0,541.0,8340.0,3580.0,10900.0,32.48567091
118,ECT,"['ECT1', 'ECT2/3', 'ECT5', 'ECT6a']","[[195, 265], [196, 291], [197, 333], [198, 359]]",307.0,895.0,8030.0,4300.0,10880.0,31.09772306
119,PIR,"['PIR1', 'PIR2', 'PIR3']","[[390, 408, 432], [392, 410, 434], [394, 412, 436]]",350.0,961.0,5620.0,6050.0,9670.0,24.62698176
120,COA,"['COApl', 'COApl1', 'COApl2', 'COApl3', 'COApm1', 'COApm2', 'COA2pm3']","[[438], [414], [416], [418], [420, 440], [422, 442], []]",360.0,631.0,7510.0,6850.0,9110.0,10.71782822
121,PAA,"['PAA1', 'PAA2', 'PAA3']","[[426], [428], [430]]",378.0,788.0,6770.0,7150.0,9530.0,15.05603673
122,CA,"['CA1slm', 'CA1so', 'CA1sp', 'CA1sr', 'CA2slm', 'CA2so', 'CA2sp', 'CA2sr', 'CA3slm', 'CA3slu', 'CA3so', 'CA3sp', 'CA3sr']","[[457, 509], [459, 511], [461, 513], [463, 515], [465, 517], [467], [469], [471], [473, 519], [475, 521], [477, 522], [479, 524], [481, 526]]",390.0,375.0,7910.0,3340.0,9010.0,44.66616745
123,DG,"['DG-mo', 'DG-po', 'DG-sg']","[[483, 485, 487, 528, 530, 532], [489, 491, 534, 536], [493, 495, 497, 538, 540, 542]]",407.0,726.0,8160.0,3070.0,8610.0,40.39574578
124,IG,['IG'],[[451]],425.0,19.0,4820.0,2920.0,6370.0,48.73189375
125,ENT,"['ENTl1', 'ENTl2/3', 'ENTl4', 'ENTl5', 'ENTl6a']","[[], [501], [503], [505], [507]]",427.0,909.0,9310.0,4570.0,10310.0,31.0499048
126,PAR,[],[],457.0,843.0,9750.0,3560.0,9190.0,36.28007277
127,POST,[],[],461.0,1037.0,9170.0,2180.0,8400.0,48.90343606
128,PRE,[],[],465.0,1084.0,9330.0,3600.0,9060.0,39.0497112
129,SUB,"['SUBd-m', 'SUBd-sp', 'SUBd-sr']","[[544], [546], [548]]",469.0,502.0,9100.0,3050.0,9180.0,43.94733125
130,ProS,[],[],,,,,,50.14648086
131,HATA,[],[],,,,,,23.17886009
132,CLA,['CLA'],[[552]],480.0,583.0,4550.0,4770.0,9250.0,40.03069582
133,EP,"['EPd', 'EPv']","[[550, 554, 564], [566, 576]]",481.0,942.0,6060.0,5680.0,9620.0,29.58678896
134,LA,['LA'],[[568]],484.0,131.0,7270.0,5230.0,9910.0,28.97130395
135,BLA,"['BLAa', 'BLAp', 'BLAv']","[[556], [558, 572], [560]]",485.0,295.0,7210.0,6030.0,9600.0,24.86704015
136,BMA,['BMAp'],"[[562, 574]]",489.0,319.0,7000.0,6380.0,9140.0,20.43251693
137,PA,['PA'],"[[570, 578]]",492.0,780.0,7940.0,6220.0,8880.0,15.82282114
138,STRd,[],[],495.0,485.0,5340.0,4210.0,8650.0,41.25042132
139,STRv,[],[],497.0,493.0,4360.0,6310.0,7730.0,27.31310277
140,LSX,[],[],507.0,275.0,4920.0,4040.0,6760.0,43.60353057
141,sAMY,[],[],514.0,278.0,6610.0,6150.0,8610.0,28.18622729
142,PALd,[],[],531.0,818.0,6230.0,4870.0,8520.0,34.44213512
143,PALv,[],[],534.0,835.0,5040.0,6290.0,7840.0,29.11558453
144,PALc,[],[],542.0,809.0,5360.0,5180.0,7210.0,34.68261193
145,VENT,[],[],565.0,637.0,6960.0,4390.0,7800.0,35.28978114
146,SPF,"['SPFm', 'SPFp']","[[638], [658]]",573.0,406.0,7790.0,4520.0,7280.0,
147,GENd,[],[],578.0,1008.0,7940.0,3520.0,8580.0,37.51470095
148,LAT,[],[],585.0,138.0,7470.0,3500.0,7810.0,37.91769689
149,MED,[],[],599.0,444.0,6750.0,4180.0,6720.0,39.61511659
150,MTN,[],[],607.0,571.0,6120.0,4460.0,6510.0,44.0249389
151,ILM,[],[],611.0,51.0,7190.0,4080.0,7100.0,36.428837
152,RT,['RT'],[[636]],617.0,262.0,6340.0,4340.0,8270.0,35.58632868
153,GENv,[],[],618.0,1014.0,7670.0,3940.0,8930.0,34.744293
154,EPI,[],[],624.0,958.0,6930.0,3130.0,6660.0,49.57866896
155,PVZ,[],[],629.0,157.0,6580.0,6450.0,6400.0,32.36791716
156,PVR,[],[],647.0,141.0,5830.0,6280.0,6540.0,31.54199041
157,MEZ,[],[],,,,,,29.85743807
158,LZ,[],[],701.0,290.0,6810.0,5750.0,7570.0,28.89690943
159,MBsen,[],[],714.0,339.0,10040.0,2010.0,7460.0,41.80734068
160,MBmot,['MBmot'],[[685]],727.0,323.0,8970.0,3370.0,7200.0,37.47135197
161,MBsta,[],[],765.0,348.0,9420.0,4490.0,7210.0,29.80170053
